location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Greenland,North America,56772.0,71.7,,,,14.0,0.0,,,24660.043683505955,0.0
Grenada,North America,112519.0,72.4,3.7,13593.877,1529569446.163,24.0,0.0,,,21329.73097876803,0.0
Guam,Oceania,168783.0,80.07,,,,1447.0,13.0,,,857313.828999366,7702.197496193337
Guatemala,North America,17915567.0,74.3,0.6,7423.808000000001,133001729619.13602,75664.0,2790.0,,,422336.61932106304,15573.048846291049
Guernsey,Europe,67052.0,,,,,252.0,13.0,,,375827.7158026606,19387.937719978523
Guinea,Africa,13132792.0,61.6,0.3,1998.926,26251479381.392,9479.0,59.0,,,72178.10196034476,449.2570962823442
Guinea-Bissau,Africa,1967998.0,58.32,,1548.675,3047789302.65,2205.0,34.0,,,112042.79679146015,1727.6440321585692
Guyana,South America,786559.0,69.91,1.6,7435.047,5848103133.273,1382.0,41.0,,,175702.01345353623,5212.5778231512195
Haiti,North America,11402533.0,64.0,0.7,1653.1729999999998,18850359687.208996,8258.0,206.0,,,72422.50471890763,1806.6161264343634
Honduras,North America,9904608.0,75.27,0.7,4541.795,44984699091.36,62526.0,1924.0,,,631281.9245345197,19425.301839305503
Hong Kong,Asia,7496988.0,84.86,,56054.92,420243062580.95996,,,780410.0,10409647.180974547,,
Hungary,Europe,9660350.0,76.88,7.02,26777.561,258680611406.35,6622.0,619.0,437531.0,4529142.318860083,68548.24100576066,6407.635334123504
Iceland,Europe,341250.0,82.99,2.91,46482.958,15862309417.5,2121.0,10.0,88829.0,26030476.19047619,621538.4615384615,2930.4029304029305
India,Asia,1380004385.0,69.66,0.53,6426.674,8868838300965.49,3853406.0,67376.0,44337201.0,3212830.4432887724,279231.4315725888,4882.303326883994
Indonesia,Asia,273523621.0,71.72,1.04,11188.744,3060385773322.024,180646.0,7616.0,1312477.0,479840.4595557764,66044.02184336394,2784.403033330712
Iran,Asia,83992953.0,76.68,1.5,19082.62,1602805604776.8599,378752.0,21797.0,3256122.0,3876660.9384480147,450933.0681587061,25950.986626223275
Iraq,Asia,40222503.0,70.6,1.4,15663.986,630044723876.958,242284.0,7201.0,1624331.0,4038363.7984935944,602359.3310441172,17902.91369982619
Ireland,Europe,4937796.0,82.3,2.96,67335.293,332487940434.228,29114.0,1777.0,844706.0,17106944.06978336,589615.2858481801,35987.715976925734
Isle of Man,Europe,85032.0,81.4,,,,336.0,24.0,,,395145.35704205476,28224.668360146767
Israel,Asia,8655541.0,82.97,2.99,33132.32,286778154185.12,122539.0,969.0,2353984.0,27196266.530307002,1415728.9532797546,11195.140777451115
Italy,Europe,60461828.0,83.51,3.18,35220.084,2129470660953.5522,271515.0,35497.0,5214766.0,8624889.740349894,449068.4601861525,58709.769741000884
Jamaica,North America,2961161.0,74.47,1.7,8193.571,24262482895.931,2822.0,27.0,,,95300.45816488871,911.8045253196296
Japan,Asia,126476458.0,84.63,13.05,39002.223,4932863019166.134,69599.0,1319.0,1816394.0,1436151.856814333,55029.213420888176,1042.8818302296227
Jersey,Europe,101073.0,,,,,381.0,32.0,,,376955.2699534,31660.285140443048
Jordan,Asia,10203140.0,74.53,1.4,8337.49,85068577718.59999,2161.0,15.0,,,21179.754467742285,147.0135664119085
Kazakhstan,Asia,18776707.0,73.6,6.7,24055.588,451684727588.716,132354.0,1889.0,2434444.0,12965233.999763643,704883.9820528701,10060.336990932436
Kenya,Africa,53771300.0,66.7,1.4,2993.028,160939006496.4,34493.0,577.0,445722.0,828921.7482188453,64147.60290340758,1073.0631396302488
Kosovo,Europe,1932774.0,,,9795.834,18933133263.516003,13558.0,523.0,,,701478.8071445498,27059.552746466994
Kuwait,Asia,4270563.0,75.49,2.0,65530.537,279852286682.331,86478.0,535.0,621616.0,14555832.568211732,2024978.9079332163,12527.62223622506
Kyrgyzstan,Asia,6524191.0,71.45,4.5,3393.474,22139672529.534,44135.0,1500.0,,,676482.3408756733,22991.35632295253
Laos,Asia,7275556.0,67.92,1.5,6397.36,46544350932.159996,22.0,0.0,,,302.3823883700435,0.0
Latvia,Europe,1886202.0,75.29,5.57,25063.846,47275476452.892006,1406.0,34.0,256350.0,13590803.105923967,74541.32696285976,1802.564094407704
Lebanon,Asia,6825442.0,78.93,2.9,13367.565,91239539588.73001,18375.0,177.0,,,269213.33446244214,2593.238650332096
Lesotho,Africa,2142252.0,54.33,,2851.153,6107888216.556,1085.0,31.0,,,50647.6362258035,1447.075320737243
Liberia,Africa,5057677.0,64.1,0.8,752.788,3807358553.476,1305.0,82.0,,,25802.359462654495,1621.297682710857
Libya,Africa,6871287.0,72.91,3.7,17881.509,122868980332.083,15156.0,250.0,,,220570.03295015913,3638.3285984124955
Liechtenstein,Europe,38137.0,82.49,2.397,,,108.0,1.0,,,283189.5534520282,2622.125494926187
Lithuania,Europe,2722291.0,75.93,6.56,29524.265,80373640891.115,2958.0,86.0,648863.0,23835181.470313057,108658.47920005613,3159.103857743349
Luxembourg,Europe,625976.0,82.25,4.51,94277.965,59015743418.84,7928.0,124.0,385820.0,61634950.86073588,1266502.2301174486,19809.066162280982
Macedonia,Europe,2083380.0,75.8,4.28,13111.214,27315641023.32,14455.0,604.0,,,693824.4583321334,28991.3505937467
Madagascar,Africa,27691019.0,67.04,0.2,1416.44,39222666952.36,15023.0,196.0,,,54252.24691081249,707.8107165359281
Malawi,Africa,19129955.0,64.26,1.3,1095.042,20948104183.109997,5579.0,175.0,,,29163.685957442136,914.795669932313
Malaysia,Asia,32365998.0,76.16,1.9,26808.164,867672982407.672,9360.0,128.0,1262848.0,3901773.7070860597,28919.23802256924,395.47675928299816
Maldives,Asia,540542.0,78.92,,15183.616000000002,8207382159.872001,8140.0,29.0,113885.0,21068668.11459609,1505895.934080978,5364.985514539111
Mali,Africa,20250834.0,59.31,0.1,2014.306,40791376431.204,2802.0,126.0,,,13836.467179573938,622.1965969401557
Malta,Europe,441539.0,82.53,4.485,36513.323,16122056124.096998,1931.0,13.0,188539.0,42700418.30959439,437333.9614394198,2944.247280534675
Mauritania,Africa,4649660.0,64.92,,3597.633,16727770254.779999,7089.0,160.0,,,152462.76071798799,3441.1118232300855
Mauritius,Africa,1271767.0,74.99,3.4,20292.745,25807643430.414997,356.0,10.0,,,27992.548949611053,786.3075547643555
Mexico,North America,128932753.0,75.05,1.38,17336.468999999997,2235238675469.1567,610957.0,65816.0,1271295.0,986014.0037496912,473857.09665254725,51046.765440585914
Moldova,Europe,4033963.0,71.9,5.8,5189.972,20936155019.036,37740.0,1024.0,,,935556.4242904558,25384.466838193606
Monaco,Europe,39244.0,86.75,13.8,,,142.0,1.0,,,361838.7524207522,2548.1602283151565
Mongolia,Asia,3278292.0,69.87,7.0,11840.846,38817750715.032,306.0,0.0,,,9334.128869545482,0.0
Montenegro,Europe,628062.0,76.88,3.861,16409.288,10306050239.856,5019.0,104.0,,,799124.927156873,16558.874760772025
Montserrat,North America,4999.0,74.16,,,,13.0,1.0,,,260052.01040208043,20004.000800160033
Morocco,Africa,36910558.0,76.68,1.1,7485.013000000001,276276006467.254,65453.0,1216.0,1956416.0,5300423.797440288,177328.66568963818,3294.450330444747
Mozambique,Africa,31255435.0,60.85,0.7,1136.103,35509393469.805,4117.0,25.0,,,13172.109106784148,79.98608881943252
Myanmar,Asia,54409794.0,67.13,0.9,5591.597,304237640901.018,1058.0,6.0,156042.0,286790.2789707309,1944.5028591727437,11.027426422529738
Namibia,Africa,2540916.0,63.71,,9541.808,24244932616.128002,7844.0,82.0,,,308707.56845169223,3227.182638072254
Nepal,Asia,29136808.0,70.78,0.3,2442.804,71175511129.632,41649.0,251.0,705560.0,2421541.8518047687,142942.90575686947,861.4533204872682
